 1.00000000e-05  4.99996666e+01  1.00000000e-05  1.06516921e-02  1.00000000e-05  2.13033841e-02  1.00000000e-05  8.33334722e+00  1.00000000e-05  8.24900049e-04  1.00000000e-05  1.92141622e+00  1.00000000e-05  2.12764539e-03  1.00000000e-05  5.00132158e-11  1.00000000e-05  1.33391595e-04  1.00000000e-05  8.33326389e-05  1.00000000e-05  8.33314029e-04 
 1.03131957e-05  4.99996562e+01  1.03131957e-05  1.09855162e-02  1.03131957e-05  2.16441575e-02  1.03131957e-05  8.33334548e+00  1.03131957e-05  8.50735387e-04  1.03131957e-05  1.92136891e+00  1.03131957e-05  2.12764494e-03  1.03131957e-05  5.00134378e-11  1.03131957e-05  1.33391838e-04  1.03131957e-05  8.33326215e-05  1.03131957e-05  8.33313426e-04 
 1.09395872e-05  4.99996353e+01  1.09395872e-05  1.16525374e-02  1.09395872e-05  2.22911611e-02  1.09395872e-05  8.33334200e+00  1.09395872e-05  9.02405706e-04  1.09395872e-05  1.92136888e+00  1.09395872e-05  2.12764406e-03  1.09395872e-05  5.00131048e-11  1.09395872e-05  1.33391768e-04  1.09395872e-05  8.33325867e-05  1.09395872e-05  8.33312214e-04 
 1.21923701e-05  4.99995936e+01  1.21923701e-05  1.29847482e-02  1.21923701e-05  2.36141479e-02  1.21923701e-05  8.33333504e+00  1.21923701e-05  1.00574420e-03  1.21923701e-05  1.92136883e+00  1.21923701e-05  2.12764228e-03  1.21923701e-05  5.00131048e-11  1.21923701e-05  1.33391629e-04  1.21923701e-05  8.33325171e-05  1.21923701e-05  8.33309798e-04 
 1.46979360e-05  4.99995100e+01  1.46979360e-05  1.56473923e-02  1.46979360e-05  2.62718269e-02  1.46979360e-05  8.33332112e+00  1.46979360e-05  1.21241258e-03  1.46979360e-05  1.92136872e+00  1.46979360e-05  2.12763873e-03  1.46979360e-05  5.00132158e-11  1.46979360e-05  1.33391351e-04  1.46979360e-05  8.33323778e-05  1.46979360e-05  8.33304960e-04 
 1.75216461e-05  4.99994159e+01  1.75216461e-05  1.86463359e-02  1.75216461e-05  2.92630594e-02  1.75216461e-05  8.33330543e+00  1.75216461e-05  1.44530897e-03  1.75216461e-05  1.92136860e+00  1.75216461e-05  2.12763472e-03  1.75216461e-05  5.00128827e-11  1.75216461e-05  1.33391038e-04  1.75216461e-05  8.33322210e-05  1.75216461e-05  8.33299510e-04 
 2.31690663e-05  4.99992277e+01  2.31690663e-05  2.46383438e-02  2.31690663e-05  3.52419568e-02  2.31690663e-05  8.33327405e+00  2.31690663e-05  1.91105810e-03  2.31690663e-05  1.92136835e+00  2.31690663e-05  2.12762671e-03  2.31690663e-05  5.00127717e-11  2.31690663e-05  1.33390412e-04  2.31690663e-05  8.33319072e-05  2.31690663e-05  8.33288610e-04 
 3.44639067e-05  4.99988512e+01  3.44639067e-05  3.65984954e-02  3.44639067e-05  4.71729623e-02  3.44639067e-05  8.33321130e+00  3.44639067e-05  2.84238185e-03  3.44639067e-05  1.92136786e+00  3.44639067e-05  2.12761069e-03  3.44639067e-05  5.00125497e-11  3.44639067e-05  1.33389160e-04  3.44639067e-05  8.33312797e-05  3.44639067e-05  8.33266813e-04 
 5.70535876e-05  4.99980982e+01  5.70535876e-05  6.04258830e-02  5.70535876e-05  7.09472321e-02  5.70535876e-05  8.33308580e+00  5.70535876e-05  4.70433149e-03  5.70535876e-05  1.92136688e+00  5.70535876e-05  2.12757865e-03  5.70535876e-05  5.00116615e-11  5.70535876e-05  1.33386656e-04  5.70535876e-05  8.33300247e-05  5.70535876e-05  8.33223231e-04 
 1.02232949e-04  4.99965923e+01  1.02232949e-04  1.07805348e-01  1.02232949e-04  1.18257941e-01  1.02232949e-04  8.33283482e+00  1.02232949e-04  8.42544102e-03  1.02232949e-04  1.92136491e+00  1.02232949e-04  2.12751457e-03  1.02232949e-04  5.00101072e-11  1.02232949e-04  1.33381648e-04  1.02232949e-04  8.33275149e-05  1.02232949e-04  8.33136114e-04 
 1.92591673e-04  4.99935809e+01  1.92591673e-04  2.02079629e-01  1.92591673e-04  2.12493705e-01  1.92591673e-04  8.33233292e+00  1.92591673e-04  1.58565147e-02  1.92591673e-04  1.92136098e+00  1.92591673e-04  2.12738642e-03  1.92591673e-04  5.00071096e-11  1.92591673e-04  1.33371633e-04  1.92591673e-04  8.33224959e-05  1.92591673e-04  8.32962073e-04 
 3.73309120e-04  4.99875595e+01  3.73309120e-04  3.89824209e-01  3.73309120e-04  4.00187825e-01  3.73309120e-04  8.33132934e+00  3.73309120e-04  3.06741884e-02  3.73309120e-04  1.92135311e+00  3.73309120e-04  2.12713019e-03  3.73309120e-04  5.00012254e-11  3.73309120e-04  1.33351608e-04  3.73309120e-04  8.33124603e-05  3.73309120e-04  8.32614755e-04 
 6.09213751e-04  4.99797022e+01  6.09213751e-04  6.33727983e-01  6.09213751e-04  6.44042535e-01  6.09213751e-04  8.33001978e+00  6.09213751e-04  4.99279447e-02  6.09213751e-04  1.92134284e+00  6.09213751e-04  2.12679584e-03  6.09213751e-04  4.99932318e-11  6.09213751e-04  1.33325478e-04  6.09213751e-04  8.32993648e-05  6.09213751e-04  8.32162904e-04 
 1.00000000e-03  4.99666932e+01  1.00000000e-03  1.03507751e+00  1.00000000e-03  1.04530357e+00  1.00000000e-03  8.32785161e+00  1.00000000e-03  8.16024279e-02  1.00000000e-03  1.92132584e+00  1.00000000e-03  2.12624227e-03  1.00000000e-03  4.99801311e-11  1.00000000e-03  1.33282215e-04  1.00000000e-03  8.32776833e-05  1.00000000e-03  8.31418180e-04 
 1.04718093e-03  4.99651233e+01  1.04718093e-03  1.08327760e+00  1.04718093e-03  1.09349361e+00  1.04718093e-03  8.32758995e+00  1.04718093e-03  8.54060859e-02  1.04718093e-03  1.92132378e+00  1.04718093e-03  2.12617546e-03  1.04718093e-03  4.99786879e-11  1.04718093e-03  1.33276994e-04  1.04718093e-03  8.32750667e-05  1.04718093e-03  8.31328620e-04 
 1.14154278e-03  4.99619837e+01  1.14154278e-03  1.17957805e+00  1.14154278e-03  1.18977292e+00  1.14154278e-03  8.32706667e+00  1.14154278e-03  9.30054661e-02  1.14154278e-03  1.92131968e+00  1.14154278e-03  2.12604186e-03  1.14154278e-03  4.99754682e-11  1.14154278e-03  1.33266552e-04  1.14154278e-03  8.32698340e-05  1.14154278e-03  8.31149636e-04 
 1.33026648e-03  4.99557059e+01  1.33026648e-03  1.37158106e+00  1.33026648e-03  1.38173371e+00  1.33026648e-03  8.32602037e+00  1.33026648e-03  1.08156707e-01  1.33026648e-03  1.92131147e+00  1.33026648e-03  2.12577472e-03  1.33026648e-03  4.99693620e-11  1.33026648e-03  1.33245675e-04  1.33026648e-03  8.32593711e-05  1.33026648e-03  8.30792487e-04 
