 1.00000000e-05  7.98431190e+00  1.00000000e-05  7.23764247e+00  1.00000000e-05  7.23764247e+00  1.00000000e-05  1.33071865e+00  1.00000000e-05  1.33043039e-04  1.00000000e-05  1.04512546e+00  1.00000000e-05  3.39757953e-04  1.00000000e-05  1.56385399e-01  1.00000000e-05  6.94918436e-12  1.00000000e-05  1.33071865e-05  1.00000000e-05  1.33069648e-04 
 1.01776067e-05  7.98403325e+00  1.01776067e-05  7.36567348e+00  1.01776067e-05  7.36567348e+00  1.01776067e-05  1.33067221e+00  1.01776067e-05  1.35405881e-04  1.01776067e-05  1.04475597e+00  1.01776067e-05  3.39746096e-04  1.01776067e-05  1.56398201e-01  1.01776067e-05  6.94927518e-12  1.01776067e-05  1.33067221e-05  1.01776067e-05  1.33064964e-04 
 1.05328201e-05  7.98347591e+00  1.05328201e-05  7.56975526e+00  1.05328201e-05  7.56975526e+00  1.05328201e-05  1.33057932e+00  1.05328201e-05  1.40131382e-04  1.05328201e-05  1.04475137e+00  1.05328201e-05  3.39722379e-04  1.05328201e-05  1.56413682e-01  1.05328201e-05  6.94872246e-12  1.05328201e-05  1.33057932e-05  1.05328201e-05  1.33055596e-04 
 1.12432469e-05  7.98236118e+00  1.12432469e-05  7.78249061e+00  1.12432469e-05  7.78249061e+00  1.12432469e-05  1.33039353e+00  1.12432469e-05  1.49581284e-04  1.12432469e-05  1.04474166e+00  1.12432469e-05  3.39674944e-04  1.12432469e-05  1.56416289e-01  1.12432469e-05  6.94761743e-12  1.12432469e-05  1.33039353e-05  1.12432469e-05  1.33036860e-04 
 1.20919713e-05  7.98102951e+00  1.20919713e-05  7.88926280e+00  1.20919713e-05  7.88926280e+00  1.20919713e-05  1.33017158e+00  1.20919713e-05  1.60868862e-04  1.20919713e-05  1.04473010e+00  1.20919713e-05  3.39618277e-04  1.20919713e-05  1.56401454e-01  1.20919713e-05  6.94629732e-12  1.20919713e-05  1.33017158e-05  1.20919713e-05  1.33014477e-04 
 1.29853110e-05  7.97962800e+00  1.29853110e-05  7.93977069e+00  1.29853110e-05  7.93977069e+00  1.29853110e-05  1.32993800e+00  1.29853110e-05  1.72747541e-04  1.29853110e-05  1.04471798e+00  1.29853110e-05  3.39558638e-04  1.29853110e-05  1.56379159e-01  1.29853110e-05  6.94490793e-12  1.29853110e-05  1.32993800e-05  1.29853110e-05  1.32990921e-04 
 1.41701850e-05  7.97776946e+00  1.41701850e-05  7.96585843e+00  1.41701850e-05  7.96585843e+00  1.41701850e-05  1.32962824e+00  1.41701850e-05  1.88499158e-04  1.41701850e-05  1.04470229e+00  1.41701850e-05  3.39479551e-04  1.41701850e-05  1.56345257e-01  1.41701850e-05  6.94306508e-12  1.41701850e-05  1.32962824e-05  1.41701850e-05  1.32959682e-04 
 1.55637769e-05  7.97558405e+00  1.55637769e-05  7.97360427e+00  1.55637769e-05  7.97360427e+00  1.55637769e-05  1.32926401e+00  1.55637769e-05  2.07020241e-04  1.55637769e-05  1.04468299e+00  1.55637769e-05  3.39386556e-04  1.55637769e-05  1.56303191e-01  1.55637769e-05  6.94089896e-12  1.55637769e-05  1.32926401e-05  1.55637769e-05  1.32922950e-04 
 1.75150128e-05  7.97252517e+00  1.75150128e-05  7.97351302e+00  1.75150128e-05  7.97351302e+00  1.75150128e-05  1.32875419e+00  1.75150128e-05  2.32943043e-04  1.75150128e-05  1.04465696e+00  1.75150128e-05  3.39256390e-04  1.75150128e-05  1.56243233e-01  1.75150128e-05  6.93786612e-12  1.75150128e-05  1.32875419e-05  1.75150128e-05  1.32871537e-04 
 2.02963536e-05  7.96816699e+00  2.02963536e-05  7.96942444e+00  2.02963536e-05  7.96942444e+00  2.02963536e-05  1.32802783e+00  2.02963536e-05  2.69874974e-04  2.02963536e-05  1.04461910e+00  2.02963536e-05  3.39070936e-04  2.02963536e-05  1.56157423e-01  2.02963536e-05  6.93354581e-12  2.02963536e-05  1.32802783e-05  2.02963536e-05  1.32798285e-04 
