 1.00000000e-04  5.99999960e+02  1.00000000e-04  8.55729994e-02  1.00000000e-04  9.41302993e-02  1.00000000e-04  1.00000827e+02  1.00000000e-04  9.87979516e-02  1.00000000e-04  2.05236841e+00  1.00000000e-04  2.55319132e-02  1.00000000e-04  6.00049788e-10  1.00000000e-04  1.47445056e-03  1.00000000e-04  9.99998267e-04  1.00000000e-04  9.99835250e-03 
 1.02822901e-04  5.99999959e+02  1.02822901e-04  8.75395273e-02  1.02822901e-04  9.45058645e-02  1.02822901e-04  1.00000826e+02  1.02822901e-04  1.01586751e-01  1.02822901e-04  2.05236805e+00  1.02822901e-04  2.55319131e-02  1.02822901e-04  6.00053340e-10  1.02822901e-04  1.47445056e-03  1.02822901e-04  9.99998265e-04  1.02822901e-04  9.99830663e-03 
 1.08468703e-04  5.99999957e+02  1.08468703e-04  9.07533506e-02  1.08468703e-04  9.51718386e-02  1.08468703e-04  1.00000826e+02  1.08468703e-04  1.07164012e-01  1.08468703e-04  2.05236805e+00  1.08468703e-04  2.55319131e-02  1.08468703e-04  6.00053340e-10  1.08468703e-04  1.47445055e-03  1.08468703e-04  9.99998261e-04  1.08468703e-04  9.99821723e-03 
 1.19760306e-04  5.99999952e+02  1.19760306e-04  9.42121348e-02  1.19760306e-04  9.59199409e-02  1.19760306e-04  1.00000825e+02  1.19760306e-04  1.18316507e-01  1.19760306e-04  2.05236805e+00  1.19760306e-04  2.55319129e-02  1.19760306e-04  6.00049788e-10  1.19760306e-04  1.47445054e-03  1.19760306e-04  9.99998254e-04  1.19760306e-04  9.99802724e-03 
 1.42343513e-04  5.99999943e+02  1.42343513e-04  9.62447615e-02  1.42343513e-04  9.63370778e-02  1.42343513e-04  1.00000824e+02  1.42343513e-04  1.40613396e-01  1.42343513e-04  2.05236805e+00  1.42343513e-04  2.55319125e-02  1.42343513e-04  6.00049788e-10  1.42343513e-04  1.47445052e-03  1.42343513e-04  9.99998239e-04  1.42343513e-04  9.99765564e-03 
 1.81691642e-04  5.99999928e+02  1.81691642e-04  9.63937603e-02  1.81691642e-04  9.63771776e-02  1.81691642e-04  1.00000821e+02  1.81691642e-04  1.79436858e-01  1.81691642e-04  2.05236805e+00  1.81691642e-04  2.55319118e-02  1.81691642e-04  6.00051564e-10  1.81691642e-04  1.47445048e-03  1.81691642e-04  9.99998213e-04  1.81691642e-04  9.99700790e-03 
 2.36624169e-04  5.99999906e+02  2.36624169e-04  9.63564359e-02  2.36624169e-04  9.63594294e-02  2.36624169e-04  1.00000818e+02  2.36624169e-04  2.33582136e-01  2.36624169e-04  2.05236805e+00  2.36624169e-04  2.55319109e-02  2.36624169e-04  6.00053340e-10  2.36624169e-04  1.47445043e-03  2.36624169e-04  9.99998176e-04  2.36624169e-04  9.99610545e-03 
 3.46489223e-04  5.99999862e+02  3.46489223e-04  9.63726996e-02  3.46489223e-04  9.63726668e-02  3.46489223e-04  1.00000810e+02  3.46489223e-04  3.41681493e-01  3.46489223e-04  2.05236804e+00  3.46489223e-04  2.55319090e-02  3.46489223e-04  6.00051564e-10  3.46489223e-04  1.47445032e-03  3.46489223e-04  9.99998103e-04  3.46489223e-04  9.99430288e-03 
 5.66219331e-04  5.99999774e+02  5.66219331e-04  9.63615220e-02  5.66219331e-04  9.63605375e-02  5.66219331e-04  1.00000796e+02  5.66219331e-04  5.57117663e-01  5.66219331e-04  2.05236803e+00  5.66219331e-04  2.55319053e-02  5.66219331e-04  6.00051564e-10  5.66219331e-04  1.47445010e-03  5.66219331e-04  9.99997957e-04  5.66219331e-04  9.99071100e-03 
 1.00567955e-03  5.99999599e+02  1.00567955e-03  9.63708507e-02  1.00567955e-03  9.63722598e-02  1.00567955e-03  1.00000767e+02  1.00567955e-03  9.84957706e-01  1.00567955e-03  2.05236802e+00  1.00567955e-03  2.55318978e-02  1.00567955e-03  6.00051564e-10  1.00567955e-03  1.47444966e-03  1.00567955e-03  9.99997665e-04  1.00567955e-03  9.98357736e-03 
